,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
146217,25,Sinaloa,2781,Culiacán,11,*,*,"24°45'15.490"" N","107°26'35.300"" W"
146218,25,Sinaloa,2784,Culiacán,36,19,17,"24°47'12.849"" N","107°09'04.630"" W"
146219,25,Sinaloa,2792,Culiacán,1,*,*,"24°49'16.498"" N","107°29'20.940"" W"
146220,25,Sinaloa,2793,Culiacán,3,*,*,"24°47'01.845"" N","107°27'00.046"" W"
146221,25,Sinaloa,2798,Culiacán,4,*,*,"24°43'24.908"" N","107°20'41.016"" W"
146222,25,Sinaloa,2800,Culiacán,6,*,*,"24°18'19.437"" N","107°21'56.702"" W"
146223,25,Sinaloa,2805,Culiacán,4,*,*,"24°42'51.235"" N","107°20'29.869"" W"
146224,25,Sinaloa,2806,Culiacán,13,7,6,"24°39'17.030"" N","107°26'46.000"" W"
146225,25,Sinaloa,2807,Culiacán,10,6,4,"24°45'20.919"" N","107°27'02.977"" W"
146226,25,Sinaloa,2809,Culiacán,4,*,*,"24°28'36.689"" N","107°22'46.017"" W"
146227,25,Sinaloa,2811,Culiacán,97,*,*,"24°52'31.898"" N","107°28'53.317"" W"
146228,25,Sinaloa,2812,Culiacán,5,*,*,"24°20'55.470"" N","107°22'24.335"" W"
146229,25,Sinaloa,2816,Culiacán,8,*,*,"25°03'20.386"" N","107°09'08.753"" W"
146230,25,Sinaloa,2820,Culiacán,4,*,*,"24°41'36.420"" N","107°25'00.310"" W"
146231,25,Sinaloa,2823,Culiacán,6,*,*,"24°49'04.731"" N","107°28'04.756"" W"
146232,25,Sinaloa,2826,Culiacán,1,*,*,"24°47'48.629"" N","107°29'14.490"" W"
146233,25,Sinaloa,2827,Culiacán,1,*,*,"24°48'25.468"" N","107°19'14.389"" W"
146234,25,Sinaloa,2829,Culiacán,4,*,*,"24°48'52.841"" N","107°29'04.031"" W"
146235,25,Sinaloa,2831,Culiacán,3,*,*,"24°31'01.373"" N","107°29'20.991"" W"
146236,25,Sinaloa,2832,Culiacán,5,*,*,"24°43'29.339"" N","107°26'05.540"" W"
146237,25,Sinaloa,2835,Culiacán,5,*,*,"24°32'31.928"" N","107°16'48.806"" W"
146238,25,Sinaloa,2836,Culiacán,3,*,*,"24°15'49.675"" N","107°07'36.981"" W"
146239,25,Sinaloa,2837,Culiacán,5,*,*,"24°12'44.894"" N","107°06'57.704"" W"
146240,25,Sinaloa,2844,Culiacán,121,59,62,"24°32'13.785"" N","107°25'32.193"" W"
146241,25,Sinaloa,2845,Culiacán,1,*,*,"24°47'30.110"" N","107°28'38.778"" W"
146242,25,Sinaloa,2847,Culiacán,4,*,*,"25°07'44.645"" N","107°10'00.403"" W"
146243,25,Sinaloa,2849,Culiacán,63,28,35,"24°38'55.930"" N","107°25'01.120"" W"
